,ISO,ShutterSpeedValue,ApertureValue,Flash,ExposureCompensation,LensType,FocalLength,MaxAperture,Professional,Version,AutofocusType,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
Saturation_Skewness,0.3675073485006293,0.41289103875499883,0.47284558391508347,0.5550242434672292,0.0,0.3258355738730292,0.45143270859799095,0.36092034144876634,0.3258355738730292,0.27548759818138757,0.32583557387302925,0.49557687900616504,0.6074893096110646,0.747649765672435,0.7419185772175145,0.41363389624260793,0.15035260320119168,0.4129288287025206,0.49557687900616504,0.8206326843498418,1.0,0.9755204896365114,0.5924005365450501,0.4618237140279724,0.5188215353327889,0.495576879006165,0.6321308434930933,0.7144921409930245,0.6755270721820179,0.5004391424666009,0.5401170941227182,0.5438300441730469
Saturation_Kurtosis,0.3736104862593567,0.41121538089534354,0.4940533421029337,0.5279344042145222,0.0,0.2654135783074626,0.4321153545655948,0.3342630020104251,0.2654135783074626,0.2798038010003733,0.2654135783074626,0.46440256732372975,0.6377074180372722,0.755595521397768,0.7675700487610675,0.39855449793092806,0.0917545932191982,0.3756768743603763,0.46440256732372975,0.8174993935729753,0.9755204896365114,1.0,0.5732569580520153,0.464842710933054,0.5118296215837311,0.46440256732372975,0.6756583839646564,0.7029280117059895,0.6780057095812919,0.4876857685233197,0.5226061938526967,0.5378468983653926
Saturation_Median,0.092557383679084,0.09589020542284149,0.6202044496292106,0.35251239570933784,0.0,0.3022428671743117,0.46598837895878725,0.5789449378954777,0.3022428671743117,0.6649950415136429,0.3022428671743116,0.9991023986184278,0.6881504084842298,0.5191677541529072,0.5205456258572246,0.599254355206324,0.2023348415288324,0.6839949414953606,0.9991023986184278,0.8396608471182121,0.5924005365450501,0.5732569580520153,1.0,0.8584082907300175,0.7268327150936419,0.9991023986184278,0.7251702884932596,0.6378261841716177,0.6264194739948685,0.8701042258998886,0.7777047939834478,0.8620509754251864
Saturation_25th_Percentile,0.07683367987411065,0.08274037644675622,0.6315140458870807,0.3350939540226021,0.0,0.28190274768220025,0.4373122151666607,0.5501147071191536,0.28190274768220025,0.6228802808854008,0.28190274768220014,0.9937330568683984,0.671557797561353,0.4529736801832881,0.4465974141495393,0.7013256776324632,0.45824733808403767,0.7194833884050091,0.9937330568683984,0.7949466957739474,0.4618237140279724,0.464842710933054,0.8584082907300175,1.0,0.6571420330863967,0.9937330568683984,0.6317116350733271,0.5857972170854232,0.5810489951802369,0.8754247917075683,0.8606473320728026,0.8153183222279734
Saturation_75th_Percentile,0.11288279213582438,0.12180973198119766,0.8673703142043669,0.46897727081568996,0.0,0.2404065775375515,0.4942593053654696,0.7639466154758864,0.2404065775375515,0.5794412647511374,0.2404065775375515,1.0,0.8806685012536266,0.5084009125918761,0.528598642693109,0.7797737108248488,0.43672162725723424,0.8478820789673073,1.0,0.8125963157839031,0.5188215353327889,0.5118296215837311,0.7268327150936419,0.6571420330863967,1.0,1.0,0.9258962937827523,0.6834734334673559,0.7026080057071963,0.7188253859474316,0.6719805021678422,0.7831757126355827
Value_Mean,0.31041336550377063,0.2844482067871375,0.9178947638272836,0.21038644035702622,0.0,0.3776198295794102,0.7430430250069648,0.3907172748790608,0.3776198295794102,0.7385086569752144,0.3776198295794102,0.9999945254170075,1.0,0.3121004618222272,0.38368254343236047,0.826088573858098,0.06384511349177314,1.0,0.9999945254170075,1.0,0.495576879006165,0.46440256732372975,0.9991023986184278,0.9937330568683984,1.0,1.0,0.9518833086648342,0.5972265625326361,0.6419299195741651,0.9990107831593736,0.9514940467586225,0.9991895940358089
Value_StdDev,0.10912125463440164,0.1182020354183624,0.8653316512150147,0.4640541407116069,0.0,0.2372399154607525,0.48342937457259144,0.7533116788571669,0.2372399154607525,0.5655682932091454,0.2372399154607524,0.9518833086648342,0.9281689042081603,0.65445131775346,0.669428985689384,0.7974914005825466,0.12036241060784712,0.8162991746537969,0.9518833086648342,0.8765864891514917,0.6321308434930933,0.6756583839646564,0.7251702884932596,0.6317116350733271,0.9258962937827523,0.9518833086648342,1.0,0.7723574098463849,0.7651556372898092,0.6644474206191853,0.6188790265648164,0.7634861535691068
Value_Skewness,0.10521774714256547,0.10812977863617436,0.5950671819519905,0.2351411714571009,0.0,0.18242401661364693,0.24532007164977693,0.2457342233891427,0.18242401661364693,0.2186717798533367,0.18242401661364688,0.5972265625326361,0.6368298017421199,0.7708156604538112,0.7452769946439692,0.5384023086608283,0.18219744857148754,0.47654435702651,0.5972265625326361,0.8386540401943169,0.7144921409930245,0.7029280117059895,0.6378261841716177,0.5857972170854232,0.6834734334673559,0.5972265625326361,0.7723574098463849,1.0,0.9739771438578447,0.627533337673024,0.6368806354313886,0.6624858747146396
Value_Kurtosis,0.0,0.0,0.6043635373298338,0.1306050488566291,0.0,0.090128684630659,0.2447668855647437,0.2542256181961292,0.090128684630659,0.27995209192550957,0.09012868463065907,0.6419299195741651,0.619032371783619,0.7258326034050416,0.7334185630878303,0.553562393818145,0.13497869835057277,0.46743741953930595,0.6419299195741651,0.8115499638884479,0.6755270721820179,0.6780057095812919,0.6264194739948685,0.5810489951802369,0.7026080057071963,0.6419299195741651,0.7651556372898092,0.9739771438578447,1.0,0.6042642861015105,0.622868403707588,0.6992587128490715
Value_Median,0.09204390503806685,0.0954531140688434,0.638475317879309,0.352053605004337,0.0,0.30178942332247377,0.4672314586833787,0.5799838288101926,0.30178942332247377,0.6670840764763943,0.3017894233224738,0.9990107831593736,0.7569622707852834,0.41942349255034556,0.41465482432081874,0.7904041807032636,0.7107219411808542,0.7689700632567832,0.9990107831593736,0.8358558057774962,0.5004391424666009,0.4876857685233197,0.8701042258998886,0.8754247917075683,0.7188253859474316,0.9990107831593736,0.6644474206191853,0.627533337673024,0.6042642861015105,1.0,0.9033583516268212,0.8176870072609734
Value_25th_Percentile,0.0,0.0,0.6177371900336416,0.29421584286156366,0.0,0.24646256672967573,0.42230762551814094,0.5216998656198414,0.24646256672967573,0.5899742321479026,0.24646256672967573,0.9514940467586225,0.6792421499644993,0.47802971688916307,0.4560290943467933,0.8185298748664834,0.6624920308032797,0.7709355906940308,0.9514940467586225,0.7872206184931441,0.5401170941227182,0.5226061938526967,0.7777047939834478,0.8606473320728026,0.6719805021678422,0.9514940467586225,0.6188790265648164,0.6368806354313886,0.622868403707588,0.9033583516268212,1.0,0.8143836254531043
Value_75th_Percentile,0.09306418001918117,0.09632631223235218,0.68162940034562,0.3529713620401671,0.0,0.30269672706441225,0.4875763846333008,0.5947818697817586,0.30269672706441225,0.6944823594848931,0.30269672706441186,0.9991895940358089,0.6893173680085589,0.4979022894793135,0.5081590788806345,0.6507986694153771,0.24589948873257514,0.6666848864174751,0.9991895940358089,0.8656660092855047,0.5438300441730469,0.5378468983653926,0.8620509754251864,0.8153183222279734,0.7831757126355827,0.9991895940358089,0.7634861535691068,0.6624858747146396,0.6992587128490715,0.8176870072609734,0.8143836254531043,1.0
